20211126-204737<DEBUG:0000B8D0>: [PrevInitCore]:1, start tickers = 36146178494700
20211126-204805<ERROR:0000B8D0>: GetInteger(141, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(141, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(141, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(142, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(142, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(142, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(142, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(143, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(143, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(143, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(143, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(144, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(144, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(144, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(144, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(145, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(145, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(145, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(145, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(146, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(146, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(146, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(146, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(147, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(147, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(147, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(147, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(148, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(148, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(148, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(148, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(149, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(149, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(149, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(149, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(150, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(150, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(150, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(150, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(151, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(151, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(151, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(151, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(152, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(152, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(152, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(152, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(153, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(153, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(153, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(153, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(154, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(154, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(154, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(154, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(155, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(155, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(155, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(155, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(156, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(156, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(156, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(156, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(157, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(157, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(157, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(157, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(158, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(158, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(158, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(158, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(159, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(159, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(159, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(159, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(160, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(160, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(160, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(160, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(161, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(161, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(161, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(161, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(162, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(162, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(162, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(162, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(163, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(163, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(163, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(163, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(164, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(164, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(164, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(164, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(165, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(165, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(165, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(165, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(166, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(166, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(166, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(166, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(167, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(167, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(167, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(167, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(168, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(168, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(168, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(168, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(169, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(169, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(169, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(169, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(170, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(170, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(170, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(170, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(171, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(171, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(171, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(171, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(172, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(172, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(172, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(172, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(173, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(173, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(173, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(173, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(174, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(174, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(174, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(174, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(175, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(175, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(175, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(175, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(176, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(176, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(176, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(176, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(177, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(177, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(177, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(177, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(178, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(178, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(178, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(178, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(179, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(179, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(179, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(179, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(180, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(180, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(180, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(180, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(181, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(181, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(181, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(181, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(182, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(182, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(182, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(182, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(183, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(183, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(183, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(183, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(184, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(184, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(184, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(184, Content) failed !
20211126-204805<DEBUG:0000B8D0>: KGLOG_PROCESS_ERROR(nOutLen > 0) at line 122 in s_Ansi_Utf16
20211126-204805<ERROR:0000B8D0>: GetInteger(141, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(141, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(141, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(141, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(142, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(142, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(142, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(142, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(143, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(143, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(143, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(143, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(144, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(144, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(144, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(144, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(145, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(145, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(145, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(145, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(146, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(146, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(146, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(146, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(147, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(147, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(147, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(147, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(148, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(148, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(148, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(148, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(149, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(149, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(149, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(149, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(150, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(150, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(150, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(150, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(151, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(151, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(151, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(151, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(152, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(152, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(152, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(152, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(153, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(153, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(153, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(153, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(154, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(154, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(154, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(154, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(155, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(155, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(155, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(155, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(156, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(156, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(156, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(156, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(157, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(157, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(157, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(157, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(158, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(158, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(158, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(158, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(159, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(159, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(159, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(159, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(160, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(160, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(160, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(160, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(161, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(161, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(161, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(161, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(162, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(162, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(162, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(162, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(163, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(163, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(163, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(163, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(164, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(164, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(164, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(164, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(165, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(165, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(165, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(165, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(166, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(166, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(166, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(166, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(167, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(167, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(167, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(167, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(168, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(168, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(168, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(168, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(169, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(169, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(169, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(169, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(170, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(170, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(170, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(170, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(171, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(171, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(171, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(171, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(172, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(172, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(172, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(172, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(173, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(173, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(173, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(173, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(174, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(174, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(174, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(174, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(175, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(175, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(175, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(175, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(176, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(176, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(176, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(176, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(177, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(177, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(177, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(177, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(178, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(178, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(178, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(178, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(179, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(179, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(179, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(179, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(180, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(180, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(180, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(180, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(181, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(181, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(181, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(181, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(182, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(182, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(182, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(182, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(183, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(183, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(183, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(183, Content) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(184, Type) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(184, Point_x) failed !
20211126-204805<ERROR:0000B8D0>: GetInteger(184, Point_y) failed !
20211126-204805<ERROR:0000B8D0>: GetString(184, Content) failed !
20211126-204808<DEBUG:0000B8D0>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-204808<ERROR:0000B8D0>: GetString(366, 2) failed !
20211126-204813<DEBUG:0000B8D0>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-204813<ERROR:0000B8D0>: GetString(366, 2) failed !
20211126-204818<DEBUG:0000B8D0>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-204818<ERROR:0000B8D0>: GetString(366, 2) failed !
20211126-204818<DEBUG:0000B8D0>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
