MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_11	GAMESVR_SET_12	Ghi chú
35	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Th? tr?n B?ch T?c
36	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Nh?n Ðãng Long Thu
37	1	2	2	4	1	1	3	4	4	4	4	4	4	4	4	4	B? H? Ð?ng Ðình
38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tr?n Ðông M? Viên
39	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	K? Liên Son
40	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Ð?ng Quan
41	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hoài Th?y Sa Châu
42	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Th?c Nam Trúc H?i
43	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Trà Mã C? Ð?o
44	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Phu?ng Ðúc Ki?m
45	1	2	2	4	1	1	3	4	4	4	4	4	4	4	4	4	Nh?c Duong Lâu
46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	C?m Ð?a H?u Son
47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	C?m Ð?a Thiên Nh?n
48	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Ki?n Tính Phong
49	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Thiên Tr? Phong
50	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Cô Tô Th?y T?
51	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	C?u Lão Phong
52	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Bách Hoa C?c
53	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	H? Ph? Thúy
54	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	B? L?c Nam Di
55	1	2	2	4	1	1	3	4	4	4	4	4	4	4	4	4	Thanh Loa Ð?o
56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ðông Tháp Lâm
57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoàng Lang Kim Qu?c 1
58	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Bang Huy?t 1
59	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	Ðông Long H? Huy?n C?nh
60	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Ngoài Y?n T? ?
61	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	C?u Lão Ð?ng 1
62	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Ngoài Bách Hoa Tr?n
63	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Ðông B? H? Trúc Lâm
64	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Ðông R?ng Nguyên Sinh
65	1	2	2	4	1	1	3	4	4	4	4	4	4	4	4	4	Ðông Nam Lu Vi Ðãng
66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tây Tháp Lâm
67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoàng Lang Kim Qu?c 2
68	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Bang Huy?t 2
69	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	Tây Long H? Huy?n C?nh
70	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Gi?a Y?n T? ?
71	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	C?u Lão Ð?ng 2
72	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Trong Bách Hoa Tr?n
73	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Tây B? H? Trúc Lâm
74	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Tây R?ng Nguyên Sinh
75	1	2	2	4	1	1	1	4	4	4	4	4	4	4	4	4	Tây B?c Lu Vi Ðãng
76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Gi?a Tháp Lâm
77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoàng Lang Kim Qu?c 3
78	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Bang Huy?t 3
79	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Gi?a Long H? Huy?n C?nh
80	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Trong Y?n T? ?
81	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	C?u Lão Ð?ng 3
82	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Gi?a Bách Hoa Tr?n
83	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Gi?a B? H? Trúc Lâm
84	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Gi?a R?ng Nguyên Sinh
85	1	2	2	4	1	1	3	4	4	4	4	4	4	4	4	4	Trung Lu Vi Ðãng
86	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Thái Hành C? Kính
87	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Ð?i Tán Quan
88	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Hán Th?y C? Ð?
89	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hàn Son C? Sát
90	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Cán Hoa Khê
91	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Nhi H?i Ma Nham
92	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Thái Th?ch Co
93	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Du?c Vuong Ð?ng
94	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Cu Diên Tr?ch
95	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Ph?c Nguu Son
96	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	H? Khâu Ki?m Trì
97	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Hu?ng Th?y Ð?ng
98	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Ði?m Thuong Son
99	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Bành Lãi C? Tr?ch
100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Phong Lang Ð?
101	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Sa M?c
102	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Kê Quán Ð?ng
103	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Th?c Cuong Son
104	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Ki?m Các Th?c Ð?o
105	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Hoàng Lang Ðoàn Th?
106	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	C?u Nghi Khê
107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Long Môn Th?ch Qu?t
108	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Hoàng Lang Tây H?
109	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Hoàng H?c Lâu
110	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Ti?n Cúc Ð?ng
111	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Ki?m Môn Quan
112	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Thiên Long T?
113	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Bang Nguyên Bí Ð?ng
114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	S?c L?c Xuyên
115	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Gia D? Quan
116	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Hoa Son
117	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Th?c Cuong Bí C?nh
118	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Phong Ðô Qu? Thành
119	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Miêu Linh
120	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Vu Di Son
121	1	2	2	4	1	1	3	4	4	4	4	4	4	4	4	4	Vu Lang Son
122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	M?c B?c Th?o Nguyên
123	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Ðôn Hoàng C? Thành
124	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Ho?t T? Nhân M?
125	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Ð?i Vu Ðài
126	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Tam Hi?p S?n Ð?o
127	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Xi Vuu Ð?ng
128	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	T?a Vân Uyên
129	1	2	2	4	1	1	3	4	4	4	4	4	4	4	4	4	Ph?c Luu Ð?ng
130	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Mông C? Vuong Ðình
131	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Nguy?t Nha Tuy?n
132	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Tàn Tích Cung A Phòng
133	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Luong Son B?c
134	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Th?n N? Phong
135	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Tàn Tích D? Lang
136	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	C? Lãng D?
137	1	2	2	4	1	1	3	4	4	4	4	4	4	4	4	4	Ðào Hoa Nguyên
138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Vân Trung Tr?n_Trong
139	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Long Môn Tr?n_Trong
140	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Vinh L?c Tr?n_Trong
141	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Ð?o Huong Thôn_Trong
142	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Giang Tân Thôn_Trong
143	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Giang Tân Thôn_Trong
144	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Long Tuy?n Thôn_Trong
145	1	2	2	4	1	1	3	4	4	4	4	4	4	4	4	4	Ba Lang Huy?n_Trong
146	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thi?u Lâm Phái_Trong
147	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thiên Nh?n Giáo_Trong
148	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tát Mãn Giáo_Trong
149	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Côn Lôn Phái_Trong
150	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Tây H? Nh?t Ph?m Ðu?ng_Trong
151	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Võ Ðang Phái_Trong
152	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Cái Bang_Trong
153	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Nga My Phái_Trong
154	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Thúy Yên Môn_Trong
155	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Ðu?ng Môn_Trong
156	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Ð?i Lý Ðoàn Th?_Trong
157	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Ngu Ð?c Giáo_Trong
158	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Tru?ng Ca Môn_Trong
159	1	2	2	4	1	1	3	4	4	4	4	4	4	4	4	4	Thiên Vuong Bang_Trong
160	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Bi?n Kinh Ph?_Trong
161	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Phu?ng Tu?ng Ph?_Trong
162	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Tuong Duong Ph?_Trong
163	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Duong Châu Ph?_Trong
164	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Thành Ðô Ph?_Trong
165	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Ð?i Lý Ph?_Trong
166	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Lâm An Ph?_Trong
167	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Lôi Ðài Võ Lâm (Bi?n Kinh)
168	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Lôi Ðài Võ Lâm (Phu?ng Tu?ng)
169	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Lôi Ðài Võ Lâm (Tuong Duong)
170	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Lôi Ðài Võ Lâm (Duong Châu)
171	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Lôi Ðài Võ Lâm (Thành Ðô)
172	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Lôi Ðài Võ Lâm (Ð?i Lý)
173	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Lôi Ðài Võ Lâm (Lâm An)
174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thi?t Sách S?n Ki?u (Bi?n Kinh)
175	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Thi?t Sách S?n Ki?u (Phu?ng Tu?ng)
176	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Thi?t Sách S?n Ki?u (Tuong Duong)
177	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Thi?t Sách S?n Ki?u (Duong Châu)
178	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Thi?t Sách S?n Ki?u (Thành Ðô)
179	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Thi?t Sách S?n Ki?u (Ð?i Lý)
180	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Thi?t Sách S?n Ki?u (Lâm An)
181	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	Báo Danh Chi?n Tru?ng_T?ng (Duong Châu 1)
182	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	Báo Danh Chi?n Tru?ng_T?ng (Phu?ng Tu?ng 1)
183	1	2	3	3	1	2	3	4	4	4	4	4	4	4	4	4	Báo Danh Chi?n Tru?ng_T?ng (Tuong Duong 1)
184	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	Báo Danh Chi?n Tru?ng_Kim (Duong Châu 1)
185	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	Báo Danh Chi?n Tru?ng_Kim (Phu?ng Tu?ng 1)
186	1	2	3	3	1	2	3	4	4	4	4	4	4	4	4	4	Báo Danh Chi?n Tru?ng_Kim (Tuong Duong 1)
187	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	C?u Khúc Chi?n (Duong Châu 1)
188	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	C?u Khúc Chi?n (Phu?ng Tu?ng 1)
189	1	2	3	3	1	2	3	4	4	4	4	4	4	4	4	4	C?u Khúc Chi?n (Tuong Duong 1)
190	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	Ngu Tru?ng Nguyên Chi?n (Duong Châu 1)
191	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	Ngu Tru?ng Nguyên Chi?n (Phu?ng Tu?ng 1)
192	1	2	3	3	1	2	3	4	4	4	4	4	4	4	4	4	Ngu Tru?ng Nguyên Chi?n (Tuong Duong 1)
193	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	Bàn Long C?c Chi?n (Duong Châu 1)
194	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	Bàn Long C?c Chi?n (Phu?ng Tu?ng 1)
195	1	2	3	3	1	2	3	4	4	4	4	4	4	4	4	4	Bàn Long C?c Chi?n (Tuong Duong 1)
196	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Ki?n Tính Phong_Trong
197	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	C?u Lão Phong_Trong
198	1	2	2	4	1	1	3	4	4	4	4	4	4	4	4	4	Thanh Loa Ð?o_Trong
199	1	1	1	2	33	3	3	3		3	3	3	3	3	3	3	Ðông Long H? Huy?n C?nh_Trong
200	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Ngoài Y?n T? ?_Trong
201	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Ðông B? H? Trúc Lâm_Trong
202	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Tây Tháp Lâm_Trong
203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hoàng Lang Kim Qu?c 2_Trong
204	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Trong Bách Hoa Tr?n_Trong
205	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Tây R?ng Nguyên Sinh_Trong
206	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Ð?i Tán Quan_Trong
207	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Hán Th?y C? Ð?_Trong
208	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Cán Hoa Khê_Trong
209	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Nhi H?i Ma Nham_Trong
210	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Cu Diên Tr?ch_Trong
211	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Ph?c Nguu Son_Trong
212	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Ði?m Thuong Son_Trong
213	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Bành Lãi C? Tr?ch_Trong
214	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Mê Cung Sa M?c_Trong
215	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Kê Quán Ð?ng_Trong
216	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Ki?m Các Th?c Ð?o_Trong
217	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	C?u Nghi Khê_Trong
218	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Long Môn Th?ch Qu?t_Trong
219	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Hoàng Lang Tây H?_Trong
220	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Thiên Long T?_Trong
221	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Bang Nguyên Bí Ð?ng_Trong
222	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ð?i Lao Bi?n Kinh
223	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Ð?i Lao Lâm An
224	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Minh Giáo
225	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	Ð?i di?n B?ch H? Ðu?ng (so 1)
226	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	B?ch H? Ðu?ng 1_Ðông (so 1)
227	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	B?ch H? Ðu?ng 1_Nam (so 1)
228	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	B?ch H? Ðu?ng 1_Tây (so 1)
229	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	B?ch H? Ðu?ng 1_B?c (so 1)
230	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	B?ch H? Ðu?ng 2_Âm (so 1)
231	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	B?ch H? Ðu?ng 2_Duong (so 1)
232	1	1	1	2	3	3	2	3	3	3	3	3	3	3	3	3	B?ch H? Ðu?ng 3 (so 1)
233	1	2	3	3	1	2	1	1	1	1	1	1	1	1	1	1	Ð?i di?n B?ch H? Ðu?ng (cao)
234	1	2	3	3	1	2	1	1	1	1	1	1	1	1	1	1	B?ch H? Ðu?ng 1_Ðông (cao)
235	1	2	3	3	1	2	1	1	1	1	1	1	1	1	1	1	B?ch H? Ðu?ng 1_Nam (cao)
236	1	2	3	3	1	2	1	1	1	1	1	1	1	1	1	1	B?ch H? Ðu?ng 1_Tây (cao)
237	1	2	3	3	1	2	1	1	1	1	1	1	1	1	1	1	B?ch H? Ðu?ng 1_B?c (cao)
238	1	2	3	3	1	2	1	1	1	1	1	1	1	1	1	1	B?ch H? Ðu?ng 2_Âm (cao)
239	1	2	3	3	1	2	1	1	1	1	1	1	1	1	1	1	B?ch H? Ðu?ng 2_Duong (cao)
240	1	2	3	3	1	2	1	1	1	1	1	1	1	1	1	1	B?ch H? Ðu?ng 3 (cao)
241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ð?u tru?ng môn phái (Thi?u Lâm)
242	1	2	2	4	1	1	3	4	4	4	4	4	4	4	4	4	Ð?u tru?ng môn phái (Thiên Vuong)
243	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Ð?u tru?ng môn phái (Ðu?ng Môn)
244	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Ð?u tru?ng môn phái (Ngu Ð?c)
245	1	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	Ð?u tru?ng môn phái (Nga My)
246	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Ð?u tru?ng môn phái (Thúy Yên)
247	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Ð?u tru?ng môn phái (Cái Bang)
248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Ð?u tru?ng môn phái (Thiên Nh?n)
249	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	Ð?u tru?ng môn phái (Võ Ðang)
250	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Ð?u tru?ng môn phái (Côn Lôn)
251	1	2	2	4	2	4	3	3	3	3	3	3	3	3	3	3	Ð?u tru?ng môn phái (Minh Giáo)
252	1	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	Ð?u tru?ng môn phái (Ðoàn Th?)
255	1	1	2	2	4	1	4	4	4	4	4	4	4	4	4	4	T?y T?y Ð?o
256	1	1	2	2	4	1	4	4	4	4	4	4	4	4	4	4	T?y T?y Ð?o Son Ð?ng
257	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	Báo Danh Chi?n Tru?ng_T?ng (Duong Châu 2)
258	1	2	2	4	2	1	3	3	3	3	3	3	3	3	3	3	Báo Danh Chi?n Tru?ng_T?ng (Phu?ng Tu?ng 2)
259	1	2	3	3	1	3	2	4	4	4	4	4	4	4	4	4	Báo Danh Chi?n Tru?ng_T?ng (Tuong Duong 2)
260	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	Báo Danh Chi?n Tru?ng_Kim (Duong Châu 2)
261	1	2	2	4	2	1	3	3	3	3	3	3	3	3	3	3	Báo Danh Chi?n Tru?ng_Kim (Phu?ng Tu?ng 2)
262	1	2	3	3	1	3	2	4	4	4	4	4	4	4	4	4	Báo Danh Chi?n Tru?ng_Kim (Tuong Duong 2)
263	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	C?u Khúc Chi?n (Duong Châu 2)
