MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	备注
93	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	药王洞
94	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	居延泽
95	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	伏牛山
96	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	虎丘剑池
97	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	响水洞
98	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	点苍山
99	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	彭蠡古泽
100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	风陵渡
101	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	沙漠迷宫
102	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	鸡冠洞
103	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	蜀冈山
104	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	剑阁蜀道
105	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	段氏皇陵
106	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	九嶷溪
107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	龙门石窟
108	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	西夏皇陵
109	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	黄鹤楼
110	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	荐菊洞
111	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	剑门关
112	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	天龙寺
113	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	帮源秘洞
114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	敕勒川
115	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	嘉峪关
116	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	华山
117	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	蜀冈秘境
118	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	丰都鬼城
119	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	苗岭
120	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	武夷山
121	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	武陵山
122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	漠北草原
123	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	敦煌古城
124	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	活死人墓
125	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	大禹台
126	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	三峡栈道
127	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	蚩尤洞
128	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	锁云渊
129	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	伏流洞
130	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	蒙古王庭
131	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	月牙泉
132	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	阿房宫废墟
133	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	梁山泊
134	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	神女峰
135	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	夜郎旧墟
136	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	鼓浪屿
137	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	桃花源
138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	云中镇_室内
139	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	龙门镇_室内
140	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	永乐镇_室内
141	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	稻香村_室内
142	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	江津村_室内
143	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	江津村_室内
144	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	龙泉村_室内
145	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	巴陵县_室内
146	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	少林派_室内
147	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	天忍教_室内
148	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	萨满教_室内
149	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	昆仑派_室内
150	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	西夏一品堂_室内
151	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	武当派_室内
152	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	丐帮_室内
153	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	峨嵋派_室内
154	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	翠烟门_室内
155	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	唐门_室内
156	1	2	3	3	3	6	2	6	6	6	6	6	6	6	6	6	大理段氏_室内
157	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	五毒教_室内
158	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	长歌门_室内
159	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	天王帮_室内
160	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	汴京府_室内
161	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	凤翔府_室内
162	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	襄阳府_室内
163	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	扬州府_室内
164	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	成都府_室内
165	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	大理府_室内
166	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	临安府_室内
167	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林擂台(汴京)
168	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林擂台(凤翔)
169	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林擂台(襄阳)
170	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林擂台(扬州)
171	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林擂台(成都)
172	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	武林擂台(大理)
173	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	武林擂台(临安)
174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	铁索栈桥(汴京)
175	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	铁索栈桥(凤翔)
176	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	铁索栈桥(襄阳)
177	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	铁索栈桥(扬州)
178	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	铁索栈桥(成都)
179	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	铁索栈桥(大理)
180	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	铁索栈桥(临安)
181	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	战场报名点_宋(扬州一)
182	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	战场报名点_宋(凤翔一)
183	1	2	3	3	5	6	7	8	8	8	8	8	8	8	8	8	战场报名点_宋(襄阳一)
184	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	战场报名点_金(扬州一)
185	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	战场报名点_金(凤翔一)
186	1	2	3	3	5	6	7	8	8	8	8	8	8	8	8	8	战场报名点_金(襄阳一)
187	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	九曲之战(扬州一)
188	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	九曲之战(凤翔一)
189	1	2	3	3	5	6	7	8	8	8	8	8	8	8	8	8	九曲之战(襄阳一)
190	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	五丈原之战(扬州一)
191	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	五丈原之战(凤翔一)
192	1	2	3	3	5	6	7	8	8	8	8	8	8	8	8	8	五丈原之战(襄阳一)
193	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	蟠龙谷之战(扬州一)
194	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	蟠龙谷之战(凤翔一)
195	1	2	3	3	5	6	7	8	8	8	8	8	8	8	8	8	蟠龙谷之战(襄阳一)
196	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	见性峰_室内
197	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	九老峰_室内
198	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	青螺岛_室内
199	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	龙虎幻境东部_室内
200	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	燕子坞外围_室内
201	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	湖畔竹林东部_室内
202	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	塔林西部_室内
203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	金国皇陵二层_室内
204	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	百花阵内阵_室内
205	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	原始森林西部_室内
206	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	大散关_室内
207	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	汉水古渡_室内
208	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	浣花溪_室内
209	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	洱海摩岩_室内
210	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	居延泽_室内
211	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	伏牛山_室内
212	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	点苍山_室内
213	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	彭蠡古泽_室内
214	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	沙漠迷宫_室内
215	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	鸡冠洞_室内
216	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	剑阁蜀道_室内
217	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	九嶷溪_室内
218	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	龙门石窟_室内
219	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	西夏皇陵_室内
220	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	天龙寺_室内
221	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	帮源秘洞_室内
222	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	汴京府大牢
223	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	临安府大牢
224	1	2	2	4	2	4	7	7	7	7	7	7	7	7	7	7	明教
225	1	1	1	2	3	3	6	3	3	3	3	3	3	3	3	3	白虎堂大殿(初级一)
226	1	1	1	2	3	3	6	3	3	3	3	3	3	3	3	3	白虎堂一层_东(初级一)
227	1	1	1	2	3	3	6	3	3	3	3	3	3	3	3	3	白虎堂一层_南(初级一)
228	1	1	1	2	3	3	6	3	3	3	3	3	3	3	3	3	白虎堂一层_西(初级一)
229	1	1	1	2	3	3	6	3	3	3	3	3	3	3	3	3	白虎堂一层_北(初级一)
230	1	1	1	2	3	3	6	3	3	3	3	3	3	3	3	3	白虎堂二层_阴(初级一)
231	1	1	1	2	3	3	6	3	3	3	3	3	3	3	3	3	白虎堂二层_阳(初级一)
232	1	1	1	2	3	3	6	3	3	3	3	3	3	3	3	3	白虎堂三层(初级一)
233	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	白虎堂大殿(高级)
234	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	白虎堂一层_东(高级)
235	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	白虎堂一层_南(高级)
236	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	白虎堂一层_西(高级)
237	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	白虎堂一层_北(高级)
238	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	白虎堂二层_阴(高级)
239	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	白虎堂二层_阳(高级)
240	1	2	3	3	5	2	5	5	5	5	5	5	5	5	5	5	白虎堂三层(高级)
241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	门派竞技场(少林)
242	1	2	2	4	5	5	7	8	8	8	8	8	8	8	8	8	门派竞技场(天王)
243	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	门派竞技场(唐门)
244	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	门派竞技场(五毒)
245	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	门派竞技场(峨嵋)
246	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	门派竞技场(翠烟)
247	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	门派竞技场(丐帮)
248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	门派竞技场(天忍)
249	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	门派竞技场(武当)
250	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	门派竞技场(昆仑)
251	1	2	2	4	2	4	7	7	7	7	7	7	7	7	7	7	门派竞技场(明教)
252	1	2	3	3	3	6	2	6	6	6	6	6	6	6	6	6	门派竞技场(段氏)
255	1	1	2	2	4	1	4	4	4	4	4	4	4	4	4	4	洗髓岛
256	1	1	2	2	4	1	4	4	4	4	4	4	4	4	4	4	洗髓岛山洞
257	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	战场报名点_宋(扬州二)
258	1	2	2	4	2	5	3	7	7	7	7	7	7	7	7	7	战场报名点_宋(凤翔二)
259	1	2	3	3	5	3	6	8	8	8	8	8	8	8	8	8	战场报名点_宋(襄阳二)
260	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	战场报名点_金(扬州二)
261	1	2	2	4	2	5	3	7	7	7	7	7	7	7	7	7	战场报名点_金(凤翔二)
262	1	2	3	3	5	3	6	8	8	8	8	8	8	8	8	8	战场报名点_金(襄阳二)
263	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	九曲之战(扬州二)
264	1	2	2	4	2	5	3	7	7	7	7	7	7	7	7	7	九曲之战(凤翔二)
265	1	2	3	3	5	3	6	8	8	8	8	8	8	8	8	8	九曲之战(襄阳二)
266	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	五丈原之战(扬州二)
267	1	2	2	4	2	5	3	7	7	7	7	7	7	7	7	7	五丈原之战(凤翔二)
268	1	2	3	3	5	3	6	8	8	8	8	8	8	8	8	8	五丈原之战(襄阳二)
269	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	蟠龙谷之战(扬州二)
270	1	2	2	4	2	5	3	7	7	7	7	7	7	7	7	7	蟠龙谷之战(凤翔二)
271	1	2	3	3	5	3	6	8	8	8	8	8	8	8	8	8	蟠龙谷之战(襄阳二)
274	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	白虎堂大殿(初级二)
275	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	白虎堂一层_东(初级二)
276	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	白虎堂一层_南(初级二)
277	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	白虎堂一层_西(初级二)
278	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	白虎堂一层_北(初级二)
279	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	白虎堂二层_阴(初级二)
280	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	白虎堂二层_阳(初级二)
281	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	白虎堂三层(初级二)
282	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	战场报名点_宋(扬州三)
283	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	战场报名点_金(扬州三)
284	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	九曲之战(扬州三)
285	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	五丈原之战(扬州三)
286	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	蟠龙谷之战(扬州三)
298	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	逍遥谷
299	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	逍遥谷
300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	逍遥谷
301	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	逍遥谷
302	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	逍遥谷
303	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	逍遥谷
304	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	逍遥谷
305	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	逍遥谷
306	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	逍遥谷
307	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	逍遥谷
308	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	逍遥谷
309	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	逍遥谷
310	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	逍遥谷
311	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	逍遥谷
312	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	逍遥谷
313	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	逍遥谷
314	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	逍遥谷
315	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	逍遥谷
316	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	逍遥谷
317	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	逍遥谷
318	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	逍遥谷
319	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	逍遥谷
320	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	逍遥谷
321	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	逍遥谷
322	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	逍遥谷
323	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	逍遥谷
324	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	逍遥谷
325	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	逍遥谷
326	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	逍遥谷
327	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	逍遥谷
328	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	逍遥谷
329	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	逍遥谷
330	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	逍遥谷
