Level	UpgardeExp1	Value1	UpgardeExp2	Value2	UpgardeExp3	Value3	UpgardeExp4	Value4	UpgardeExp5	Value5
41	4100	43050000	4100	43050000	4100	43050000	4100	43050000	4100	43050000
42	4200	45150000	4200	45150000	4200	45150000	4200	45150000	4200	45150000
43	4300	47300000	4300	47300000	4300	47300000	4300	47300000	4300	47300000
44	4400	49500000	4400	49500000	4400	49500000	4400	49500000	4400	49500000
45	4500	51750000	4500	51750000	4500	51750000	4500	51750000	4500	51750000
46	4600	54050000	4600	54050000	4600	54050000	4600	54050000	4600	54050000
47	4700	56400000	4700	56400000	4700	56400000	4700	56400000	4700	56400000
48	4800	58800000	4800	58800000	4800	58800000	4800	58800000	4800	58800000
49	4900	61250000	4900	61250000	4900	61250000	4900	61250000	4900	61250000
50	5000	63750000	5000	63750000	5000	63750000	5000	63750000	5000	63750000
51	5100	66300000	5100	66300000	5100	66300000	5100	66300000	5100	66300000
52	5200	68900000	5200	68900000	5200	68900000	5200	68900000	5200	68900000
53	5300	71550000	5300	71550000	5300	71550000	5300	71550000	5300	71550000
54	5400	74250000	5400	74250000	5400	74250000	5400	74250000	5400	74250000
55	5500	77000000	5500	77000000	5500	77000000	5500	77000000	5500	77000000
56	5600	79800000	5600	79800000	5600	79800000	5600	79800000	5600	79800000
57	5700	82650000	5700	82650000	5700	82650000	5700	82650000	5700	82650000
58	5800	85550000	5800	85550000	5800	85550000	5800	85550000	5800	85550000
59	5900	88500000	5900	88500000	5900	88500000	5900	88500000	5900	88500000
60	6000	91500000	6000	91500000	6000	91500000	6000	91500000	6000	91500000
61	6100	94550000	6100	94550000	6100	94550000	6100	94550000	6100	94550000
62	6200	97650000	6200	97650000	6200	97650000	6200	97650000	6200	97650000
63	6300	100800000	6300	100800000	6300	100800000	6300	100800000	6300	100800000
64	6400	104000000	6400	104000000	6400	104000000	6400	104000000	6400	104000000
65	6500	107250000	6500	107250000	6500	107250000	6500	107250000	6500	107250000
66	6600	110550000	6600	110550000	6600	110550000	6600	110550000	6600	110550000
67	6700	113900000	6700	113900000	6700	113900000	6700	113900000	6700	113900000
68	6800	117300000	6800	117300000	6800	117300000	6800	117300000	6800	117300000
69	6900	120750000	6900	120750000	6900	120750000	6900	120750000	6900	120750000
70	7000	124250000	7000	124250000	7000	124250000	7000	124250000	7000	124250000
71	7100	127800000	7100	127800000	7100	127800000	7100	127800000	7100	127800000
72	7200	131400000	7200	131400000	7200	131400000	7200	131400000	7200	131400000
73	7300	135050000	7300	135050000	7300	135050000	7300	135050000	7300	135050000
74	7400	138750000	7400	138750000	7400	138750000	7400	138750000	7400	138750000
75	7500	142500000	7500	142500000	7500	142500000	7500	142500000	7500	142500000
76	7600	146300000	7600	146300000	7600	146300000	7600	146300000	7600	146300000
77	7700	150150000	7700	150150000	7700	150150000	7700	150150000	7700	150150000
78	7800	154050000	7800	154050000	7800	154050000	7800	154050000	7800	154050000
79	7900	158000000	7900	158000000	7900	158000000	7900	158000000	7900	158000000
80	8000	162000000	8000	162000000	8000	162000000	8000	162000000	8000	162000000
81	8100	166050000	8100	166050000	8100	166050000	8100	166050000	8100	166050000
82	8200	170150000	8200	170150000	8200	170150000	8200	170150000	8200	170150000
83	8300	174300000	8300	174300000	8300	174300000	8300	174300000	8300	174300000
84	8400	178500000	8400	178500000	8400	178500000	8400	178500000	8400	178500000
85	8500	182750000	8500	182750000	8500	182750000	8500	182750000	8500	182750000
86	8600	187050000	8600	187050000	8600	187050000	8600	187050000	8600	187050000
87	8700	191400000	8700	191400000	8700	191400000	8700	191400000	8700	191400000
88	8800	195800000	8800	195800000	8800	195800000	8800	195800000	8800	195800000
89	8900	200250000	8900	200250000	8900	200250000	8900	200250000	8900	200250000
90	9000	204750000	9000	204750000	9000	204750000	9000	204750000	9000	204750000
91	9100	209300000	9100	209300000	9100	209300000	9100	209300000	9100	209300000
92	9200	213900000	9200	213900000	9200	213900000	9200	213900000	9200	213900000
93	9300	218550000	9300	218550000	9300	218550000	9300	218550000	9300	218550000
94	9400	223250000	9400	223250000	9400	223250000	9400	223250000	9400	223250000
95	9500	228000000	9500	228000000	9500	228000000	9500	228000000	9500	228000000
96	9600	232800000	9600	232800000	9600	232800000	9600	232800000	9600	232800000
97	9700	237650000	9700	237650000	9700	237650000	9700	237650000	9700	237650000
98	9800	242550000	9800	242550000	9800	242550000	9800	242550000	9800	242550000
99	9900	247500000	9900	247500000	9900	247500000	9900	247500000	9900	247500000
100	10000	252500000	10000	252500000	10000	252500000	10000	252500000	10000	252500000
101	10100	257550000	10100	257550000	10100	257550000	10100	257550000	10100	257550000
102	10200	262650000	10200	262650000	10200	262650000	10200	262650000	10200	262650000
103	10300	267800000	10300	267800000	10300	267800000	10300	267800000	10300	267800000
104	10400	273000000	10400	273000000	10400	273000000	10400	273000000	10400	273000000
105	10500	278250000	10500	278250000	10500	278250000	10500	278250000	10500	278250000
106	10600	283550000	10600	283550000	10600	283550000	10600	283550000	10600	283550000
107	10700	288900000	10700	288900000	10700	288900000	10700	288900000	10700	288900000
108	10800	294300000	10800	294300000	10800	294300000	10800	294300000	10800	294300000
109	10900	299750000	10900	299750000	10900	299750000	10900	299750000	10900	299750000
110	11000	305250000	11000	305250000	11000	305250000	11000	305250000	11000	305250000
111	11100	310800000	11100	310800000	11100	310800000	11100	310800000	11100	310800000
112	11200	316400000	11200	316400000	11200	316400000	11200	316400000	11200	316400000
113	11300	322050000	11300	322050000	11300	322050000	11300	322050000	11300	322050000
114	11400	327750000	11400	327750000	11400	327750000	11400	327750000	11400	327750000
115	11500	333500000	11500	333500000	11500	333500000	11500	333500000	11500	333500000
116	11600	339300000	11600	339300000	11600	339300000	11600	339300000	11600	339300000
117	11700	345150000	11700	345150000	11700	345150000	11700	345150000	11700	345150000
118	11800	351050000	11800	351050000	11800	351050000	11800	351050000	11800	351050000
119	11900	357000000	11900	357000000	11900	357000000	11900	357000000	11900	357000000
120	12000	363000000	12000	363000000	12000	363000000	12000	363000000	12000	363000000
121	12100	369050000	12100	369050000	12100	369050000	12100	369050000	12100	369050000
122	12200	375150000	12200	375150000	12200	375150000	12200	375150000	12200	375150000
123	12300	381300000	12300	381300000	12300	381300000	12300	381300000	12300	381300000
124	12400	387500000	12400	387500000	12400	387500000	12400	387500000	12400	387500000
125	12500	393750000	12500	393750000	12500	393750000	12500	393750000	12500	393750000
126	12600	400050000	12600	400050000	12600	400050000	12600	400050000	12600	400050000
127	12700	406400000	12700	406400000	12700	406400000	12700	406400000	12700	406400000
128	12800	412800000	12800	412800000	12800	412800000	12800	412800000	12800	412800000
129	12900	419250000	12900	419250000	12900	419250000	12900	419250000	12900	419250000
130	13000	425750000	13000	425750000	13000	425750000	13000	425750000	13000	425750000
131	13100	432300000	13100	432300000	13100	432300000	13100	432300000	13100	432300000
132	13200	438900000	13200	438900000	13200	438900000	13200	438900000	13200	438900000
133	13300	445550000	13300	445550000	13300	445550000	13300	445550000	13300	445550000
134	13400	452250000	13400	452250000	13400	452250000	13400	452250000	13400	452250000
135	13500	459000000	13500	459000000	13500	459000000	13500	459000000	13500	459000000
136	13600	465800000	13600	465800000	13600	465800000	13600	465800000	13600	465800000
137	13700	472650000	13700	472650000	13700	472650000	13700	472650000	13700	472650000
138	13800	479550000	13800	479550000	13800	479550000	13800	479550000	13800	479550000
139	13900	486500000	13900	486500000	13900	486500000	13900	486500000	13900	486500000
140	14000	493500000	14000	493500000	14000	493500000	14000	493500000	14000	493500000
141	14100	500550000	14100	500550000	14100	500550000	14100	500550000	14100	500550000
142	14200	507650000	14200	507650000	14200	507650000	14200	507650000	14200	507650000
143	14300	514800000	14300	514800000	14300	514800000	14300	514800000	14300	514800000
144	14400	522000000	14400	522000000	14400	522000000	14400	522000000	14400	522000000
145	14500	529250000	14500	529250000	14500	529250000	14500	529250000	14500	529250000
146	14600	536550000	14600	536550000	14600	536550000	14600	536550000	14600	536550000
147	14700	543900000	14700	543900000	14700	543900000	14700	543900000	14700	543900000
148	14800	551300000	14800	551300000	14800	551300000	14800	551300000	14800	551300000
149	14900	558750000	14900	558750000	14900	558750000	14900	558750000	14900	558750000
150	15000	566250000	15000	566250000	15000	566250000	15000	566250000	15000	566250000
151	15100	573800000	15100	573800000	15100	573800000	15100	573800000	15100	573800000
152	15200	581400000	15200	581400000	15200	581400000	15200	581400000	15200	581400000
153	15300	589050000	15300	589050000	15300	589050000	15300	589050000	15300	589050000
154	15400	596750000	15400	596750000	15400	596750000	15400	596750000	15400	596750000
155	15500	604500000	15500	604500000	15500	604500000	15500	604500000	15500	604500000
156	15600	612300000	15600	612300000	15600	612300000	15600	612300000	15600	612300000
157	15700	620150000	15700	620150000	15700	620150000	15700	620150000	15700	620150000
158	15800	628050000	15800	628050000	15800	628050000	15800	628050000	15800	628050000
159	15900	636000000	15900	636000000	15900	636000000	15900	636000000	15900	636000000
160	16000	644000000	16000	644000000	16000	644000000	16000	644000000	16000	644000000
161	16100	652050000	16100	652050000	16100	652050000	16100	652050000	16100	652050000
162	16200	660150000	16200	660150000	16200	660150000	16200	660150000	16200	660150000
163	16300	668300000	16300	668300000	16300	668300000	16300	668300000	16300	668300000
164	16400	676500000	16400	676500000	16400	676500000	16400	676500000	16400	676500000
165	16500	684750000	16500	684750000	16500	684750000	16500	684750000	16500	684750000
166	16600	693050000	16600	693050000	16600	693050000	16600	693050000	16600	693050000
167	16700	701400000	16700	701400000	16700	701400000	16700	701400000	16700	701400000
168	16800	709800000	16800	709800000	16800	709800000	16800	709800000	16800	709800000
169	16900	718250000	16900	718250000	16900	718250000	16900	718250000	16900	718250000
170	17000	726750000	17000	726750000	17000	726750000	17000	726750000	17000	726750000
171	17100	735300000	17100	735300000	17100	735300000	17100	735300000	17100	735300000
172	17200	743900000	17200	743900000	17200	743900000	17200	743900000	17200	743900000
173	17300	752550000	17300	752550000	17300	752550000	17300	752550000	17300	752550000
174	17400	761250000	17400	761250000	17400	761250000	17400	761250000	17400	761250000
175	17500	770000000	17500	770000000	17500	770000000	17500	770000000	17500	770000000
176	17600	778800000	17600	778800000	17600	778800000	17600	778800000	17600	778800000
177	17700	787650000	17700	787650000	17700	787650000	17700	787650000	17700	787650000
178	17800	796550000	17800	796550000	17800	796550000	17800	796550000	17800	796550000
179	17900	805500000	17900	805500000	17900	805500000	17900	805500000	17900	805500000
180	18000	814500000	18000	814500000	18000	814500000	18000	814500000	18000	814500000
181	18100	823550000	18100	823550000	18100	823550000	18100	823550000	18100	823550000
182	18200	832650000	18200	832650000	18200	832650000	18200	832650000	18200	832650000
183	18300	841800000	18300	841800000	18300	841800000	18300	841800000	18300	841800000
184	18400	851000000	18400	851000000	18400	851000000	18400	851000000	18400	851000000
185	18500	860250000	18500	860250000	18500	860250000	18500	860250000	18500	860250000
186	18600	869550000	18600	869550000	18600	869550000	18600	869550000	18600	869550000
187	18700	878900000	18700	878900000	18700	878900000	18700	878900000	18700	878900000
188	18800	888300000	18800	888300000	18800	888300000	18800	888300000	18800	888300000
189	18900	897750000	18900	897750000	18900	897750000	18900	897750000	18900	897750000
190	19000	907250000	19000	907250000	19000	907250000	19000	907250000	19000	907250000
191	19100	916800000	19100	916800000	19100	916800000	19100	916800000	19100	916800000
192	19200	926400000	19200	926400000	19200	926400000	19200	926400000	19200	926400000
193	19300	936050000	19300	936050000	19300	936050000	19300	936050000	19300	936050000
194	19400	945750000	19400	945750000	19400	945750000	19400	945750000	19400	945750000
195	19500	955500000	19500	955500000	19500	955500000	19500	955500000	19500	955500000
196	19600	965300000	19600	965300000	19600	965300000	19600	965300000	19600	965300000
197	19700	975150000	19700	975150000	19700	975150000	19700	975150000	19700	975150000
198	19800	985050000	19800	985050000	19800	985050000	19800	985050000	19800	985050000
199	19900	995000000	19900	995000000	19900	995000000	19900	995000000	19900	995000000
200	20000	1005000000	20000	1005000000	20000	1005000000	20000	1005000000	20000	1005000000
201	250000	1015000000	250000	1015000000	25000	1015000000	250000	1015000000	250000	1015000000
202	300000	1025000000	300000	1025000000	30000	1025000000	300000	1025000000	300000	1025000000
203	350000	1035000000	350000	1035000000	35000	1035000000	350000	1035000000	350000	1035000000
204	400000	1045000000	400000	1045000000	40000	1045000000	400000	1045000000	400000	1045000000
205	450000	1055000000	450000	1055000000	45000	1055000000	450000	1055000000	450000	1055000000
206	500000	1065000000	500000	1065000000	50000	1065000000	500000	1065000000	500000	1065000000
207	550000	1075000000	550000	1075000000	55000	1075000000	550000	1075000000	550000	1075000000
208	600000	1085000000	600000	1085000000	60000	1085000000	600000	1085000000	600000	1085000000
209	650000	1095000000	650000	1095000000	65000	1095000000	650000	1095000000	650000	1095000000
210	700000	1105000000	700000	1105000000	70000	1105000000	700000	1105000000	700000	1105000000
211	750000	1115000000	750000	1115000000	75000	1115000000	750000	1115000000	750000	1115000000
212	800000	1125000000	800000	1125000000	80000	1125000000	800000	1125000000	800000	1125000000
213	850000	1135000000	850000	1135000000	85000	1135000000	850000	1135000000	850000	1135000000
214	900000	1145000000	900000	1145000000	90000	1145000000	900000	1145000000	900000	1145000000
215	950000	1155000000	950000	1155000000	95000	1155000000	950000	1155000000	950000	1155000000
216	1000000	1165000000	1000000	1165000000	100000	1165000000	1000000	1165000000	1000000	1165000000
217	1050000	1175000000	1050000	1175000000	105000	1175000000	1050000	1175000000	1050000	1175000000
218	1100000	1185000000	1100000	1185000000	110000	1185000000	1100000	1185000000	1100000	1185000000
219	1150000	1195000000	1150000	1195000000	115000	1195000000	1150000	1195000000	1150000	1195000000
220	1200000	1205000000	1200000	1205000000	120000	1205000000	1200000	1205000000	1200000	1205000000
221	1250000	1215000000	1250000	1215000000	125000	1215000000	1250000	1215000000	1250000	1215000000
222	1300000	1225000000	1300000	1225000000	130000	1225000000	1300000	1225000000	1300000	1225000000
223	1350000	1235000000	1350000	1235000000	135000	1235000000	1350000	1235000000	1350000	1235000000
224	1400000	1245000000	1400000	1245000000	140000	1245000000	1400000	1245000000	1400000	1245000000
225	1450000	1255000000	1450000	1255000000	145000	1255000000	1450000	1255000000	1450000	1255000000
226	1500000	1265000000	1500000	1265000000	150000	1265000000	1500000	1265000000	1500000	1265000000
227	1550000	1275000000	1550000	1275000000	155000	1275000000	1550000	1275000000	1550000	1275000000
228	1600000	1285000000	1600000	1285000000	160000	1285000000	1600000	1285000000	1600000	1285000000
229	1650000	1295000000	1650000	1295000000	165000	1295000000	1650000	1295000000	1650000	1295000000
230	1700000	1305000000	1700000	1305000000	170000	1305000000	1700000	1305000000	1700000	1305000000
231	1750000	1315000000	1750000	1315000000	175000	1315000000	1750000	1315000000	1750000	1315000000
232	1800000	1325000000	1800000	1325000000	180000	1325000000	1800000	1325000000	1800000	1325000000
233	1850000	1335000000	1850000	1335000000	185000	1335000000	1850000	1335000000	1850000	1335000000
234	1900000	1345000000	1900000	1345000000	190000	1345000000	1900000	1345000000	1900000	1345000000
235	1950000	1355000000	1950000	1355000000	195000	1355000000	1950000	1355000000	1950000	1355000000
236	2000000	1365000000	2000000	1365000000	200000	1365000000	2000000	1365000000	2000000	1365000000
237	2050000	1375000000	2050000	1375000000	205000	1375000000	2050000	1375000000	2050000	1375000000
238	2100000	1385000000	2100000	1385000000	210000	1385000000	2100000	1385000000	2100000	1385000000
239	2150000	1395000000	2150000	1395000000	215000	1395000000	2150000	1395000000	2150000	1395000000
240	2200000	1405000000	2200000	1405000000	220000	1405000000	2200000	1405000000	2200000	1405000000
241	2250000	1415000000	2250000	1415000000	225000	1415000000	2250000	1415000000	2250000	1415000000
242	2300000	1425000000	2300000	1425000000	230000	1425000000	2300000	1425000000	2300000	1425000000
243	2350000	1435000000	2350000	1435000000	235000	1435000000	2350000	1435000000	2350000	1435000000
244	2400000	1445000000	2400000	1445000000	240000	1445000000	2400000	1445000000	2400000	1445000000
245	2450000	1455000000	2450000	1455000000	245000	1455000000	2450000	1455000000	2450000	1455000000
246	2500000	1465000000	2500000	1465000000	250000	1465000000	2500000	1465000000	2500000	1465000000
247	2550000	1475000000	2550000	1475000000	255000	1475000000	2550000	1475000000	2550000	1475000000
248	2600000	1485000000	2600000	1485000000	260000	1485000000	2600000	1485000000	2600000	1485000000
249	2650000	1495000000	2650000	1495000000	265000	1495000000	2650000	1495000000	2650000	1495000000
250	2700000	1505000000	2700000	1505000000	270000	1505000000	2700000	1505000000	2700000	1505000000
251	2750000	1515000000	2750000	1515000000	275000	1515000000	2750000	1515000000	2750000	1515000000
252	2800000	1525000000	2800000	1525000000	280000	1525000000	2800000	1525000000	2800000	1525000000
253	2850000	1535000000	2850000	1535000000	285000	1535000000	2850000	1535000000	2850000	1535000000
254	2900000	1545000000	2900000	1545000000	290000	1545000000	2900000	1545000000	2900000	1545000000
255	2950000	1555000000	2950000	1555000000	295000	1555000000	2950000	1555000000	2950000	1555000000
256	3000000	1565000000	3000000	1565000000	300000	1565000000	3000000	1565000000	3000000	1565000000
257	3050000	1575000000	3050000	1575000000	305000	1575000000	3050000	1575000000	3050000	1575000000
258	3100000	1585000000	3100000	1585000000	310000	1585000000	3100000	1585000000	3100000	1585000000
259	3150000	1595000000	3150000	1595000000	315000	1595000000	3150000	1595000000	3150000	1595000000
260	3200000	1605000000	3200000	1605000000	320000	1605000000	3200000	1605000000	3200000	1605000000
261	3250000	1615000000	3250000	1615000000	325000	1615000000	3250000	1615000000	3250000	1615000000
262	3300000	1625000000	3300000	1625000000	330000	1625000000	3300000	1625000000	3300000	1625000000
263	3350000	1635000000	3350000	1635000000	335000	1635000000	3350000	1635000000	3350000	1635000000
264	3400000	1645000000	3400000	1645000000	340000	1645000000	3400000	1645000000	3400000	1645000000
265	3450000	1655000000	3450000	1655000000	345000	1655000000	3450000	1655000000	3450000	1655000000
266	3500000	1665000000	3500000	1665000000	350000	1665000000	3500000	1665000000	3500000	1665000000
267	3550000	1675000000	3550000	1675000000	355000	1675000000	3550000	1675000000	3550000	1675000000
268	3600000	1685000000	3600000	1685000000	360000	1685000000	3600000	1685000000	3600000	1685000000
269	3650000	1695000000	3650000	1695000000	365000	1695000000	3650000	1695000000	3650000	1695000000
270	3700000	1705000000	3700000	1705000000	370000	1705000000	3700000	1705000000	3700000	1705000000
271	3750000	1715000000	3750000	1715000000	375000	1715000000	3750000	1715000000	3750000	1715000000
272	3800000	1725000000	3800000	1725000000	380000	1725000000	3800000	1725000000	3800000	1725000000
273	3850000	1735000000	3850000	1735000000	385000	1735000000	3850000	1735000000	3850000	1735000000
274	3900000	1745000000	3900000	1745000000	390000	1745000000	3900000	1745000000	3900000	1745000000
275	3950000	1755000000	3950000	1755000000	395000	1755000000	3950000	1755000000	3950000	1755000000
276	4000000	1765000000	4000000	1765000000	400000	1765000000	4000000	1765000000	4000000	1765000000
277	4050000	1775000000	4050000	1775000000	405000	1775000000	4050000	1775000000	4050000	1775000000
278	4100000	1785000000	4100000	1785000000	410000	1785000000	4100000	1785000000	4100000	1785000000
279	4150000	1795000000	4150000	1795000000	415000	1795000000	4150000	1795000000	4150000	1795000000
280	4200000	1805000000	4200000	1805000000	420000	1805000000	4200000	1805000000	4200000	1805000000
281	4250000	1815000000	4250000	1815000000	425000	1815000000	4250000	1815000000	4250000	1815000000
282	4300000	1825000000	4300000	1825000000	430000	1825000000	4300000	1825000000	4300000	1825000000
283	4350000	1835000000	4350000	1835000000	435000	1835000000	4350000	1835000000	4350000	1835000000
284	4400000	1845000000	4400000	1845000000	440000	1845000000	4400000	1845000000	4400000	1845000000
285	4450000	1855000000	4450000	1855000000	445000	1855000000	4450000	1855000000	4450000	1855000000
286	4500000	1865000000	4500000	1865000000	450000	1865000000	4500000	1865000000	4500000	1865000000
287	4550000	1875000000	4550000	1875000000	455000	1875000000	4550000	1875000000	4550000	1875000000
288	4600000	1885000000	4600000	1885000000	460000	1885000000	4600000	1885000000	4600000	1885000000
289	4650000	1895000000	4650000	1895000000	465000	1895000000	4650000	1895000000	4650000	1895000000
290	4700000	1905000000	4700000	1905000000	470000	1905000000	4700000	1905000000	4700000	1905000000
291	4750000	1915000000	4750000	1915000000	475000	1915000000	4750000	1915000000	4750000	1915000000
292	4800000	1925000000	4800000	1925000000	480000	1925000000	4800000	1925000000	4800000	1925000000
293	4850000	1935000000	4850000	1935000000	485000	1935000000	4850000	1935000000	4850000	1935000000
294	4900000	1945000000	4900000	1945000000	490000	1945000000	4900000	1945000000	4900000	1945000000
295	4950000	1955000000	4950000	1955000000	495000	1955000000	4950000	1955000000	4950000	1955000000
296	5000000	1965000000	5000000	1965000000	500000	1965000000	5000000	1965000000	5000000	1965000000
297	5050000	1975000000	5050000	1975000000	505000	1975000000	5050000	1975000000	5050000	1975000000
298	5100000	1985000000	5100000	1985000000	510000	1985000000	5100000	1985000000	5100000	1985000000
299	5150000	1995000000	5150000	1995000000	515000	1995000000	5150000	1995000000	5150000	1995000000
300	5200000	2005000000	5200000	2005000000	520000	2005000000	5200000	2005000000	5200000	2005000000
301	5250000	2015000000	5250000	2015000000	525000	2015000000	5250000	2015000000	5250000	2015000000
302	5300000	2025000000	5300000	2025000000	530000	2025000000	5300000	2025000000	5300000	2025000000
303	5350000	2035000000	5350000	2035000000	535000	2035000000	5350000	2035000000	5350000	2035000000
304	5400000	2045000000	5400000	2045000000	540000	2045000000	5400000	2045000000	5400000	2045000000
305	5450000	2055000000	5450000	2055000000	545000	2055000000	5450000	2055000000	5450000	2055000000
306	5500000	2065000000	5500000	2065000000	550000	2065000000	5500000	2065000000	5500000	2065000000
307	5550000	2075000000	5550000	2075000000	555000	2075000000	5550000	2075000000	5550000	2075000000
308	5600000	2085000000	5600000	2085000000	560000	2085000000	5600000	2085000000	5600000	2085000000
309	5650000	2095000000	5650000	2095000000	565000	2095000000	5650000	2095000000	5650000	2095000000
310	5700000	2105000000	5700000	2105000000	570000	2105000000	5700000	2105000000	5700000	2105000000
311	5750000	2115000000	5750000	2115000000	575000	2115000000	5750000	2115000000	5750000	2115000000
312	5800000	2125000000	5800000	2125000000	580000	2125000000	5800000	2125000000	5800000	2125000000
313	5850000	2135000000	5850000	2135000000	585000	2135000000	5850000	2135000000	5850000	2135000000
314	5900000	2145000000	5900000	2145000000	590000	2145000000	5900000	2145000000	5900000	2145000000
315	5950000	2155000000	5950000	2155000000	595000	2155000000	5950000	2155000000	5950000	2155000000
316	6000000	2165000000	6000000	2165000000	600000	2165000000	6000000	2165000000	6000000	2165000000
317	6050000	2175000000	6050000	2175000000	605000	2175000000	6050000	2175000000	6050000	2175000000
318	6100000	2185000000	6100000	2185000000	610000	2185000000	6100000	2185000000	6100000	2185000000
319	6150000	2195000000	6150000	2195000000	615000	2195000000	6150000	2195000000	6150000	2195000000
320	6200000	2205000000	6200000	2205000000	620000	2205000000	6200000	2205000000	6200000	2205000000
321	6250000	2215000000	6250000	2215000000	625000	2215000000	6250000	2215000000	6250000	2215000000
322	6300000	2225000000	6300000	2225000000	630000	2225000000	6300000	2225000000	6300000	2225000000
323	6350000	2235000000	6350000	2235000000	635000	2235000000	6350000	2235000000	6350000	2235000000
324	6400000	2245000000	6400000	2245000000	640000	2245000000	6400000	2245000000	6400000	2245000000
325	6450000	2255000000	6450000	2255000000	645000	2255000000	6450000	2255000000	6450000	2255000000
326	6500000	2265000000	6500000	2265000000	650000	2265000000	6500000	2265000000	6500000	2265000000
327	6550000	2275000000	6550000	2275000000	655000	2275000000	6550000	2275000000	6550000	2275000000
328	6600000	2285000000	6600000	2285000000	660000	2285000000	6600000	2285000000	6600000	2285000000
329	6650000	2295000000	6650000	2295000000	665000	2295000000	6650000	2295000000	6650000	2295000000
330	6700000	2305000000	6700000	2305000000	670000	2305000000	6700000	2305000000	6700000	2305000000
331	6750000	2315000000	6750000	2315000000	675000	2315000000	6750000	2315000000	6750000	2315000000
332	6800000	2325000000	6800000	2325000000	680000	2325000000	6800000	2325000000	6800000	2325000000
333	6850000	2335000000	6850000	2335000000	685000	2335000000	6850000	2335000000	6850000	2335000000
334	6900000	2345000000	6900000	2345000000	690000	2345000000	6900000	2345000000	6900000	2345000000
335	6950000	2355000000	6950000	2355000000	695000	2355000000	6950000	2355000000	6950000	2355000000
336	7000000	2365000000	7000000	2365000000	700000	2365000000	7000000	2365000000	7000000	2365000000
337	7050000	2375000000	7050000	2375000000	705000	2375000000	7050000	2375000000	7050000	2375000000
338	7100000	2385000000	7100000	2385000000	710000	2385000000	7100000	2385000000	7100000	2385000000
339	7150000	2395000000	7150000	2395000000	715000	2395000000	7150000	2395000000	7150000	2395000000
340	7200000	2405000000	7200000	2405000000	720000	2405000000	7200000	2405000000	7200000	2405000000
341	7250000	2415000000	7250000	2415000000	725000	2415000000	7250000	2415000000	7250000	2415000000
342	7300000	2425000000	7300000	2425000000	730000	2425000000	7300000	2425000000	7300000	2425000000
343	7350000	2435000000	7350000	2435000000	735000	2435000000	7350000	2435000000	7350000	2435000000
