EventId	PartId	Name	SubKind	ExClass	StartDate	EndDate	ExParam1	ExParam2	ExParam3	ExParam4	ExParam5	ExParam6	ExParam7	ExParam8	ExParam9	ExParam10	ExParam11	ExParam12	ExParam13	ExParam14	ExParam15	ExParam16	ExParam17	ExParam18	ExParam19	ExParam20	ExParam21	ExParam22	ExParam23	ExParam24	ExParam25	_showall
6	1	Kích hoạt nhận nhân vật	npc_getaward		0	0	Npc:2601	AddSelect:"Ngươi xác nhận kích hoạt nhân vật hiện tại nhận thưởng phải không? Sau khi kích hoạt nhân vật khác thuộc tài khoản này sẽ không thể nhận thưởng.","Xác nhận kích hoạt"		CheckMonthPay:50,"Tháng này ngươi nạp thẻ không đủ <color=yellow>50 đồng<color>, không thể tham gia hoạt động!",""	CheckTaskEq:58,0,"Ngươi đã kích hoạt nhận thưởng!",""	CheckExt:1,0,"Nhân vật khác trong tài khoản đã kích hoạt nhận thưởng, hiện không thể kích hoạt!",""						SetTask:58,1	SetExt:1,1	SetMsg:2,"Ngươi đã kích hoạt nhân vật hiện tại nhận thưởng thành công!"	SetMsg:0,"Ngươi đã kích hoạt nhân vật hiện tại nhận thưởng thành công!"											
6	2	Lãnh phần thưởng nạp thẻ 50 đồng	npc_getaward		0	0	Npc:2601			CheckTaskEq:58,1,"Nhân vật hiện tại không kích hoạt nhận thưởng, kích hoạt nhận thưởng hoặc sử dụng nhân vật đã kích hoạt đến nhận thưởng!",""	CheckMonthPay:50,"Tháng này ngươi nạp thẻ không đủ <color=yellow>50 đồng<color> không thể nhận phần thưởng ưu đãi nạp thẻ!",""	CheckTaskEq:59,0,"Ngươi đã nhận phần thưởng này rồi!",""						SetAwardId:1	SetTask:59,1	SetMsg:1,"Ngươi đã nhận phần thưởng ưu đãi nạp thẻ 50 đồng thành công!"												
6	3	Nhận phần thưởng nạp thẻ từ 100 đến 200 đồng	npc_getaward		0	0	Npc:2601			CheckTaskEq:58,1,"Nhân vật hiện tại không kích hoạt nhận thưởng, kích hoạt nhận thưởng hoặc sử dụng nhân vật đã kích hoạt đến nhận thưởng!",""	CheckMonthPay:100,"Tháng này ngươi nạp thẻ không đủ <color=yellow>100 đồng<color>, không thể nhận phần thưởng!",""	CheckTask:60,3,"Ngươi đã nhận phần thưởng này rồi!",""					CheckLuaScript:"local nPay = me.GetExtMonthPay();<enter>if nPay < 150 then<enter><tab>if EventManager:GetTask(60) > 0 then<enter><tab><tab>return 1, string.format(\"Nạp thẻ tích lũy tháng này của ngươi là <color=yellow>%s đồng<color>, ngươi đã nhận đồng khóa tặng cho nạp thẻ tích lũy đạt 100 đồng.\", nPay);<enter><tab>end<enter>end<enter>if nPay < 200 then<enter><tab>if EventManager:GetTask(60) > 1 then<enter><tab><tab>return 1, string.format(\"Nạp thẻ tích lũy tháng này của ngươi là <color=yellow>%s đồng<color>, ngươi đã nhận đồng khóa tặng cho nạp thẻ tích lũy đạt 150 đồng.\", nPay);<enter><tab>end<enter>end<enter>if nPay < 250 then<enter><tab>if EventManager:GetTask(60) > 2 then<enter><tab><tab>return 1, string.format(\"Nạp thẻ tích lũy tháng này của ngươi là <color=yellow>%s đồng<color>, ngươi đã nhận đồng khóa tặng cho nạp thẻ tích lũy đạt 200 đồng.\", nPay);<enter><tab>end<enter>end<enter>return 0",""	SetLuaScript:"local nPay = me.GetExtMonthPay();<enter>local tbT = {{200, 3},{150, 2},{100, 1}};<enter>local nTask = EventManager:GetTask(60);<enter>for _, tb in ipairs(tbT) do<enter><tab>if nPay >= tb[1] then<enter><tab><tab>local nAddBindMoney = (tb[2] - nTask) * 5000;<enter><tab><tab>if nAddBindMoney > 0 then<enter><tab><tab><tab>EventManager:SetTask(60, tb[2]);<enter><tab><tab><tab>me.AddBindCoin(nAddBindMoney);<enter><tab><tab><tab>me.PlayerLog(Log.emKPLAYERLOG_TYPE_JOINSPORT, string.format(\"[Hoạt động] nhận được đồng khóa: %s, ký hiệu: %s\",nAddBindMoney, nTask));<enter><tab><tab>end<enter><tab><tab>Dialog:Say(string.format(\"Lần này ngươi đã nhận thành công <color=yellow>%s đồng khóa<color>.\", nAddBindMoney));<enter><tab><tab>return 0;<enter><tab>end<enter>end"														
6	4	Nhận phần thưởng nạp thẻ 250 đồng trở lên	npc_getaward		0	0	Npc:2601			CheckTaskEq:58,1,"Nhân vật hiện tại không kích hoạt nhận thưởng, kích hoạt nhận thưởng hoặc sử dụng nhân vật đã kích hoạt đến nhận thưởng!",""	CheckMonthPay:250,"Tháng này ngươi nạp thẻ không đủ <color=yellow>250 đồng<color>, không thể nhận phần thưởng!",""						CheckLuaScript:"local nPay = me.GetExtMonthPay();<enter>local nCount = math.floor((nPay - 200)/ 50);<enter>if EventManager:GetTask(61) >= nCount then<enter><tab>return 1,  string.format(\"Đã nhận %s đồng khóa thành công, tiếp tục nạp thẻ mới có thể nhận thưởng lần nữa.\", nCount*1000)<enter>end<enter>return 0;",""	SetLuaScript:"local nPay = me.GetExtMonthPay();<enter>local nCount = math.floor((nPay - 200)/ 50);<enter>local nTask = EventManager:GetTask(61);<enter>local nAddCoin = (nCount - nTask) * 1000;<enter>EventManager:SetTask(61, nCount);<tab><enter>me.AddBindCoin(nAddCoin);<enter>me.PlayerLog(Log.emKPLAYERLOG_TYPE_JOINSPORT, string.format(\"[Hoạt động] nhận được đồng khóa: %s, ký hiệu: %s\",nAddCoin, nTask));<enter>Dialog:Say(string.format(\"Lần này ngươi đã nhận thành công <color=yellow>%s đồng khóa<color>.\", nAddCoin));<tab><enter>return 0;"														
6	5	Xem chi tiết nhận đồng khóa	npc_getaward		0	0	Npc:2601			CheckMonthPay:50,"Nạp thẻ tích lũy tháng này của ngươi không đủ 50 đồng, không thể tham gia hoạt động.",""	CheckTaskEq:58,1,"Ngươi chưa kích hoạt nhận thưởng cho nhân vật này.",""							SetLuaScript:"local nPay = me.GetExtMonthPay();<enter>local nTsk1 = EventManager:GetTask(59);<enter>local nTsk2 = EventManager:GetTask(60);<enter>local nTsk3 = EventManager:GetTask(61);<enter>local nGet2 = math.floor((nPay - 50)/50);<enter>if nGet2 > 3 then<enter>   nGet2 = 3;<enter>end<enter>local nGet3 = math.floor((nPay - 200)/50);<enter>if nGet3 < 0 then<enter>   nGet3 = 0;<enter>end<enter>local nSum  = (150 + nGet2*50 + nGet3*10)*100;<enter>local nGetSum = (nTsk1*150 + nTsk2*50 + nTsk3*10)*100;<enter>local szTip = [[<enter> <color=green>---Chi tiết nhận đồng khóa---<color><enter><enter>Nạp thẻ tích lũy tháng này: <color=yellow>%s đồng<color><enter>Tổng đồng khóa có thể nhận: <color=yellow>%s đồng khóa<color><enter>Tổng đồng khóa đã nhận: <color=yellow>%s đồng khóa<color><enter>Tổng đồng khóa chưa nhận: <color=yellow>%s đồng khóa<color><enter>]]<enter>local szMsg = string.format(szTip, nPay, nSum, nGetSum, (nSum - nGetSum));<enter>Dialog:Say(szMsg);<enter>return 0;"														
7	1	Nhận lệnh bài chúc phúc	npc_getaward		0	0	Npc:2601	AddSelect:"Ngươi xác nhận có nhận lệnh bài chúc phúc không? Sau khi nhận phần thưởng này <color=yellow>không thể<color> nhận phần thưởng Huyền Tinh!","Xác nhận"		CheckTaskEq:58,1,"Nhân vật hiện tại không kích hoạt nhận thưởng, kích hoạt nhận thưởng hoặc sử dụng nhân vật đã kích hoạt đến nhận thưởng!",""	CheckMonthPay:500,"Tháng này ngươi nạp thẻ không đủ <color=yellow>500 đồng<color>, không thể nhận phần thưởng!",""	CheckTaskEq:62,0,"Ngươi đã nhận phần thưởng cho nạp thẻ đạt <color=yellow>500 đồng<color>!",""	CheckFreeBag:3,"Nhận phần thưởng cần <color=yellow>3 ô<color> trống, sắp xếp rồi quay lại!",""					SetAwardId:2	SetTask:62,1	SetMsg:2,"Ngươi đã nhận phần thưởng cho nạp thẻ 500 đồng thành công!"												
7	2	Nhận Huyền 9	npc_getaward		0	0	Npc:2601	AddSelect:"Ngươi xác nhận có nhận phần thưởng Huyền 9 không? Sau khi nhận ngươi sẽ <color=yellow>không thể<color> nhận lệnh bài chúc phúc!","Xác nhận"		CheckTaskEq:58,1,"Nhân vật hiện tại không kích hoạt nhận thưởng, kích hoạt nhận thưởng hoặc sử dụng nhân vật đã kích hoạt đến nhận thưởng!",""	CheckMonthPay:500,"Tháng này ngươi nạp thẻ không đủ <color=yellow>500 đồng<color>, không thể nhận phần thưởng!",""	CheckTaskEq:62,0,"Ngươi đã nhận phần thưởng cho nạp thẻ đạt <color=yellow>500 đồng<color>!",""	CheckFreeBag:1,"Nhận phần thưởng cần <color=yellow>1 ô<color> trống, sắp xếp rồi quay lại!",""					SetAwardId:3	SetTask:62,1	SetMsg:2,"Ngươi đã nhận phần thưởng cho nạp thẻ 500 đồng thành công!"												
8	1	Nhận ưu đãi giảm phí cường hóa	npc_getaward		0	0	Npc:3571	AddSelect:"Ngươi xác nhận nhận hiệu quả ưu đãi <color=yellow>giảm phí cường hóa<color> không? Hiệu quả này kéo dài <color=yellow>1 tuần<color>, trong thời gian hoạt động ngươi có thể đến nhận bất cứ lúc nào, nhưng chỉ có <color=yellow>1 lần<color> cơ hội!","Xác nhận"		CheckTaskEq:63,0,"Ngươi đã nhận phần thưởng này rồi!",""								AddSkillBuff:892,1,10080	AddTask:63,1	SetMsg:1,"Ngươi đã nhận hiệu quả giảm phí cường hóa thành công!"	SetMsg:2,"Ngươi đã nhận hiệu quả giảm phí cường hóa thành công!"	SetMsg:0,"Ngươi đã nhận hiệu quả giảm phí cường hóa thành công!"										
8	2	Nhận phần thưởng trừng trị đạo tặc	npc_getaward		0	0	Npc:3571	AddSelect:"Hoàn thành mỗi <color=yellow>6 lần nhiệm vụ giang hồ truy nã color> sẽ nhận được bạc khóa, ngươi có nhận không?","Xác nhận"		CheckTask:65,5,"    Làm rất tốt, con trai!<enter>    Nhiệm vụ trừng trị Hải tặc ngươi đã hoàn thành <color=yellow>5 lần<color>, bà con, cha mẹ của ngươi sẽ ghi nhớ trong lòng!",""	CheckTaskLt:64,6,"    Hình như ngươi chưa hoàn thành <color=yellow>6 lần<color> nhiệm vụ giang hồ truy nã, đi trừng trị cường đạo rồi đến nhận thưởng, không làm mà hưởng là không đúng!",""							AddBaseMoney:200000,7,200000	AddTask:65,1	MinusTask:64,6	SetTaskMsg:1,"Bạn đã hoàn thành <color=yellow>1 lần<color> nhiệm vụ trừng trị Hải tặc nhân ngày lễ Lao động thành công, nhận được bạc khóa!<enter>Đã hoàn thành: <color=yellow>%s lần<color><enter>Hoàn thành nhiều nhất: <color=yellow>5 lần<color><enter>",65,0,0,0,0											
8	3	Hoàn thành nhiệm vụ đạo tặc	action_finishtask		0	0	TaskFinish:"FinishWanted",0			CheckTask:65,5,"",""								AddTask:64,1														
8	4	Xem chi tiết hoạt động	npc_getaward		0	0	Npc:3571											SetTaskMsg:1,"<color=yellow>***Chi tiết hoạt động***<color><enter>    Trong thời gian hoạt động đến chỗ <color=yellow>Bổ Đầu Hình Bộ<color> ở các thành thị nhận nhiệm vụ giang hồ truy nã, mỗi <color=yellow>6 lần<color> hoàn thành có thể đến lão đây nhận bạc khóa. Con trai, cố lên!<enter><enter>Đã hoàn thành: <color=yellow>%s lần<color>; <enter>số lần hoạt động có thể hoàn thành: <color=yellow>5 lần<color>;<enter><enter>số lần hoàn thành có hiệu lực của nhiệm vụ  truy nã: <color=yellow>%s lần<color>.",65,64,0,0,0														
9	1	Kích hoạt nhân vật	npc_getaward		0	0	Npc:2601	AddSelect:"Ngươi có muốn kích hoạt nhân vật hiện tại tham gia hoạt động không? Sau khi kích hoạt, nhân vật khác thuộc tài khoản này sẽ không thể tham gia hoạt động.","Xác nhận"		CheckMonthPay:15,"Nạp thẻ tháng này không đủ <color=yellow>1000 đồng<color>, không thể tham gia hoạt động!",""	CheckTaskEq:66,0,"Nhân vật hiện tại đã kích hoạt rồi~~Không cần kích hoạt lại!",""	CheckExt:1,0,"Nhân vật khác trong tài khoản đã kích hoạt hoạt động! Hiện không thể kích hoạt",""	CheckLevel:60,"Chưa đạt <color=yellow>cấp 60<color>, luyện thêm rồi hãy đến!",""					AddTask:66,1	SetMsg:0,"Kích hoạt nhân vật hiện tại tham gia hoạt động thành công!"	SetExt:1,1	SetMsg:2,"Chúc mừng ngươi đã kích hoạt nhân vật hiện tại tham gia hoạt động thành công!"											
9	2	Nhận 15 vỏ sò vàng cho nạp thẻ đạt 1000 đồng	npc_getaward		0	0	Npc:2601	AddSelect:"Ngươi muốn nhận <color=yellow>vỏ sò vàng<color> được tặng khi <color=yellow>nạp thẻ 1000 đồng<color> không?","Xác nhận"		CheckTaskEq:66,1,"Không thể nhận, chưa kích hoạt hoặc nhân vật khác đã kích hoạt nhận thưởng rồi!",""	CheckTaskEq:67,0,"Không thể nhận nữa, ngươi đã nhận vỏ sò vàng được tặng khi nạp thẻ <color=yellow>1000 đồng<color> rồi!",""	CheckMonthPay:15,"Nạp thẻ tích lũy tháng này của ngươi không đủ <color=yellow>1000 đồng<color>, không thể tham gia hoạt động!",""	CheckFreeBag:6,"Nhận thưởng cần <color=yellow>6 ô<color> trống, sắp xếp rồi quay lại!",""					SetAwardId:4	AddTask:67,1	SetMsg:0,"Ngươi đã nhận thành công 6 vỏ sò vàng khi tham gia <color=yellow>ưu đãi nạp thẻ tháng 5<color>!"												
9	3	Nhận vỏ sò vàng khi nạp thẻ đạt 3000 đồng	npc_getaward		0	0	Npc:2601	AddSelect:"Ngươi xác nhận có nhận vỏ sò vàng được tặng khi nạp thẻ <color=yellow>3000 đồng<color> không?","Xác nhận"		CheckTaskEq:66,1,"Không thể nhận, chưa kích hoạt hoặc nhân vật khác đã kích hoạt nhận thưởng rồi!",""	CheckTaskEq:68,0,"Không thể nhận lại, ngươi đã nhận vỏ sò vàng được tặng khi nạp thẻ <color=yellow>3000 đồng<color> rồi!",""	CheckMonthPay:48,"Nạp thẻ tích lũy tháng này của ngươi không đủ <color=yellow>3000 đồng<color>, không thể nhận vỏ sò vàng!",""	CheckFreeBag:14,"Nhận phần thưởng cần <color=yellow>14 ô<color> trống, sắp xếp rồi quay lại!",""					SetAwardId:5	AddTask:68,1	SetMsg:0,"Ngươi đã nhận thành công 14 vỏ sò vàng khi tham gia <color=yellow>ưu đãi nạp thẻ tháng 5<color>!"												
10	1	Kích hoạt phần thưởng	npc_getaward		0	0	Npc:2601	AddSelect:"Ngươi muốn kích hoạt nhân vật hiện tại nhận thưởng không? Sau khi kích hoạt, nhân vật khác không thể nhận thưởng","Xác nhận"		CheckTaskEq:69,0,"Nhân vật hiện tại đã kích hoạt nhận thưởng!",""	CheckExt:2,0,"Nhân vật khác trong tài khoản đã kích hoạt nhận thưởng, không thể kích hoạt nữa!",""							SetTask:69,1	SetExt:2,1	SetMsg:0,"Chúc mừng ngươi đã kích hoạt nhân vật hiện tại nhận thưởng ưu đãi nạp thẻ Tết Đoan Ngọ thành công!"	SetMsg:2,"Chúc mừng ngươi đã kích hoạt nhân vật hiện tại nhận thưởng!"											
10	2	Nhận Huyền 9	npc_getaward		0	0	Npc:2601	AddSelect:"　　Bạn nạp thẻ <color=yellow>150 đồng<color> sẽ nhận phần thưởng <color=yellow>Huyền tinh cấp 9<color>, xác nhận chứ?","Xác nhận"		CheckTaskEq:69,1,"Không thể nhận thưởng, bạn chưa kích hoạt quyền nhận thưởng!",""	CheckTaskEq:70,0,"Bạn đã nhận phần thưởng Huyền tinh cấp 9!",""	CheckMonthPay:150,"Nạp thẻ tháng này của bạn không đủ <color=yellow>150 đồng<color>, không thể nhận thưởng, mau nạp thẻ, kẻo hết hạn!",""	CheckFreeBag:1,"Túi đã đầy, cần <color=yellow>1 ô<color> trống mới có thể nhận thưởng!",""					SetAwardId:6	AddTask:70,1	SetMsg:2,"Chúc mừng bạn nhận được phần thưởng ưu đãi nạp thẻ Đoan Ngọ <color=yellow>Huyền Tinh cấp 9<color>!"												
10	3	Tiêu phí đồng thưởng đồng khóa	action_opentask		0	0												OpenIBReturen:2														
10	4	Nhận lệnh bài chúc phúc	npc_getaward		0	0	Npc:2601	AddSelect:"    Bạn xác nhận nhận phần thưởng nạp thẻ <color=yellow>500 đồng<color> <color=yellow>3 Lệnh bài chúc phúc (trung)<color> chứ?","Xác nhận"		CheckTaskEq:69,1,"Không thể nhận thưởng, bạn chưa kích hoạt quyền nhận thưởng!",""	CheckTaskEq:71,0,"Bạn đã nhận Lệnh bài chúc phúc!",""	CheckMonthPay:500,"Nạp thẻ tích lũy tháng này của bạn không đủ <color=yellow>500 đồng<color>, không thể nhận thưởng!",""	CheckFreeBag:3,"Túi đã đầy, cần có 3 ô trống mới có thể nhận!",""					SetAwardId:7	AddTask:71,1	SetMsg:2,"Chúc mừng bạn nhận được phần thưởng ưu đãi nạp thẻ Đoan Ngọ 3 Lệnh bài chúc phúc (trung)!"												
10	5	Tìm hiểu hoạt động ưu đãi nạp thẻ Đoan Ngọ!	npc_multdialog		0	0	Npc:2601											SetLayer1Msg:"Tết Đoan Ngọ có 2 hoạt động ưu đãi, bạn muốn tìm hiểu hoạt động nào?"	SetLayer2Msg:"Nạp Thẻ Nhận Quà","　　Trong thời gian hoạt động, nạp thẻ tích lũy trong tháng đạt <color=yellow>150 đồng<color> có thể đến chỗ Lễ Quan nhận 1 <color=yellow>Huyền tinh cấp 9<color>, nếu nạp thẻ tích lũy trong tháng đạt <color=yellow>500 đồng<color>, còn có thể nhận thêm <color=yellow>3 Lệnh bài chúc phúc (trung)<color>. Bắt buộc phải nhận thưởng trước <color=yellow>24:00 ngày 31<color>, nếu không xem như tự từ bỏ.<enter>　　<color=yellow>Chú ý:<color> Trước khi nhận thưởng cần kích hoạt quyền nhận thưởng cho nhân vật, mỗi tài khoản chỉ được nhận một lần."	SetLayer2Msg:"Tiêu phí đồng thưởng đồng khóa ","　　Trong thời gian hoạt động, người chơi chỉ cần tiêu tiền đồng trong Kỳ Trân Các, mỗi lần <color=yellow>500 đồng<color> thì sẽ nhận được phần thưởng <color=yellow>500 đồng khóa<color>, khi tiêu hết <color=yellow>15000 đồng<color>, thì cứ 500 đồng sẽ trả lại <color=yellow>100 đồng khóa<color>. Nhưng số tiền đồng được nhận lại không được vượt quá số đồng <color=yellow>nạp thẻ nhiều nhất tích lũy trong tháng<color> <enter>　　Chú ý: Nếu không đủ 500 đồng thì sẽ được tiếp tục tích lũy, cho đến khi đủ để nhận thưởng đồng khóa, nhưng phải trước <color=yellow>24:00 ngày 31 <color>, nếu không sẽ không nhận được đồng khóa."												
12	1	Kích hoạt nhận thưởng	npc_getaward		0	0	Npc:2601	AddSelect:"Xác nhận kích hoạt? Sau khi kích hoạt nhân vật khác không thể nhận phần thưởng.","Xác nhận"		CheckMonthPay:50,"Tiền nạp thẻ tích lũy tháng này không đủ <color=yellow>50 đồng<color>, không thể kích hoạt nhận thưởng!",""	CheckTaskEq:72,0,"Nhân vật hiện tại đã kích hoạt nhận thưởng!",""	CheckExt:1,0,"<color=yellow>Nhân vật khác<color> trong tài khoản đã kích hoạt nhận thưởng, không thể kích hoạt tiếp!",""						AddTask:72,1	SetExt:1,1	SetMsg:0,"Chúc mừng kích hoạt nhận thưởng thành công!"	SetMsg:2,"Chúc mừng kích hoạt nhận thưởng thành công!"											
12	2	Nhận Túi quà kỷ niệm	npc_getaward		0	0	Npc:2601	AddSelect:"Nhận Túi quà kỷ niệm?","Xác nhận"		CheckTaskEq:72,1,"Nhân vật chưa kích hoạt hoạt động, không thể nhận thưởng!",""	CheckFreeBag:1,"Nhận Túi quà kỷ niệm cần <color=yellow>1 ô<color> túi trống!",""	CheckTaskEq:73,0,"Đã nhận Túi quà kỷ niệm, mỗi người chỉ có thể nhận <color=yellow>1 lần<color>!",""	CheckMonthPay:50,"Tiền nạp tích lũy tháng chưa đủ <color=yellow>50 đồng<color>, không thể nhận Túi quà kỷ niệm!",""					AddItem:"18,1,342,1",1,1,""	AddTask:73,1	SetMsg:0,"Nhận thành công Túi quà kỷ niệm!"	SetMsg:2,"Nhận thành công Túi quà kỷ niệm!"											
12	3	Dùng Túi quà kỷ niệm	item_useitem		0	0	Item:"zhounianbao",0,0,1,""			CheckFreeBag:5,"Túi không đủ chỗ, cần <color=yellow>5 ô<color> trống!",""								SetAwardId:8	SetAwardId:9													
12	4	Phí nhận cường hóa giảm	npc_getaward		0	0	Npc:2601	AddSelect:"Nhận hiệu quả giảm 10% phí cường hóa? Sau khi nhận duy trì trong 5 ngày.","Xác nhận"		CheckTaskEq:72,1,"Nhân vật hiện tại chưa kích hoạt quyền nhận thưởng!",""	CheckTaskEq:74,0,"Nhận được hiệu quả phí cường hóa giảm!",""							AddSkillBuff:892,1,7200	AddTask:74,1	SetMsg:0,"Nhận được hiệu quả phí cường hóa giảm!"	SetMsg:2,"Nhận được hiệu quả phí cường hóa giảm!"											
12	5	Pháo hoa kỷ niệm	boss_dropitem		0	0	DropNpcType:"_ALLNPC"											SetDropItemId:2,1														
